#BIBLE VERSE DESKTOP

#name   	Turkish Bible
#language	turkish

; Scripture taken from the Turkish Bible. 

RAB kendisinden korkanlarla paylaşır sırrını	Mezmurlar 24:14
 Öyle koşun ki ödülü kazanasınız	1 Korintliler 9:24
Sizin ışığınız insanların önünde  parlasın  	Matta 5:16
Biz de yeni bir yaşam sürmek yoluyla yuruek	Romalılar 6:4
Ruh da güçsüzlüğümüzde bize yardım eder	Romalılar 8:26
Seni elimin gölgesiyle örttüm	Yeşaya 51:16
Yalnız RABden korkun, Ona bağlılıkla kulluk edin	1 Samuel 12:24
Yalnız Tanrınız RABbe tapacaksınız	2 Krallar 17:39
Çünkü sizde olan, dünyadakinden üstündür	1 Yuhanna 4:4
Ezilmiş kamışı kırmayacak, Tüten fitili söndürmeyecek	Matta 12:20
İyi sulanmış bahçe gibi,Tükenmez su kaynağı olacaksınız	Yeşaya 58:11
Bak, iyi oldun. Artık günah işleme	Yuhanna 5:14
Ey adil Tanrım Sen ki akılları, gönülleri sınarsın	Mezmurlar 7:10
Sen iyi ve bağışlayıcısın, ya Rab	Mezmurlar 85:5
Karanlık geçiyor, gerçek ışık şimdiden parlıyor	1 Yuhanna 2:8
Kurtuluş senden gelir, ya RAB	Yunus 2:10
Imana bağlı kalmaları için onlara cesaret verdiler	Elçilerin İşleri 14:22
Mazlumlar bunu görünce sevinsin.	Mezmurlar 68:33
Bir daha ölme yok.Çünkü dirilişin çocuklarıdırlar	Luka 20:36
Mesih sayesinde büyük teselli de buluyoruz	2 Korintliler 1:5
Sonsuza dek Tanrının sevgisine güvenirim	Mezmurlar 51:10
Imanını ağzıyla açıklayarak kurtulur	Romalılar 10:10
Ben kuluna verdiğin sözü yerine getir.	Mezmurlar 118:38
Tanrının tapınağı kutsaldır ve o tapınak sizsiniz	1 Korintliler 3:17
Kendini dünyanın lekelemesinden koru	Yakup 1:27
Çünkü Tanrının Egemenliği lafta değil, güçtedir	1 Korintliler 4:20
