#BIBLE VERSE DESKTOP ( vrsoft.org )

#name   	Luter Bible
#language	german

; Scripture taken from the Luter Bible. 
; Public Domain.

Lauft so, daß ihr ihn erlangt! 	1Kor.9:24
Also laßt euer Licht leuchten vor den Leuten	Mt.5:16
Also sollen auch wir in einem neuen Leben wandeln. 	Röm.6:4
Der Geist selbst vertritt uns aufs beste mit unaussprechlichem Seufzen. 	Röm.8:26
Ich bedecke dich unter dem Schatten meiner Hände	Jes.51:16
Nur fürchtet den Herrn und dienet ihm treu von ganzem Herzen	1Sam.12:24
Sondern fürchtet den HERRN, euren Gott	2Kön.17:39
Der in euch ist, ist größer, als der in der Welt ist. 	1Joh.4:4
Das zerstoßene Rohr wird er nicht zerbrechen	Mt.12:20
Und du wirst sein wie ein gewässerter Garten	Jes.58:11
Siehe zu, du bist gesund geworden; sündige hinfort nicht mehr	Joh.5:14
Du prüfst Herzen und Nieren. 	Ps.7:9
Denn du, HERR, bist gut und gnädig, von großer Güte allen	Ps.86:5
Die Finsternis vergeht, und das wahre Licht scheint jetzt. 	1Joh.2:8
Denn die Hilfe ist des HERRN	Jona.2:10
Ermahnten sie, daß sie im Glauben blieben	Apg.14:22
Die Elenden sehen's und freuen sich	Ps.69:32
Denn sie können hinfort nicht sterben; denn sie sind… Gottes Kinder,	Lk.20:36
So werden wir auch reichlich getröstet durch Christum. 	2Kor.1:5
Verlasse mich auf Gottes Güte immer und ewiglich. 	Ps.52:8
Und so man mit dem Munde bekennt, so wird man selig. 	Röm.10:10
Laß deinen Knecht dein Gebot fest für dein Wort halten	Ps.119:38
Der Tempel Gottes ist heilig, der seid ihr. 	1Kor.3:17
Und sich von der Welt unbefleckt erhalten. 	Jak.1:27
Denn das Reich Gottes steht nicht in Worten, sondern in Kraft	1Kor.4:20
Er tue, was ihm wohlgefällt. 	1Sam.3:18
Das ist er der Sünde gestorben zu einem Mal	Röm.6:10
Er sprach zu ihnen: Was wollt ihr, daß ich euch tue? 	Mk.10:36
Daß ihr erfüllt werdet mit Erkenntnis seines Willens	Kol.1:9
Damit unsere Freude vollkommen sei	1Joh.1:4
Daß dir's wohl gehe und du gesund seist,	3Joh.2
Darum suche ich auch, HERR, dein Antlitz. 	Ps.27:8
Ich aber will…des Gottes meines Heils warten	Mi.7:7
Ein Beispiel habe ich euch gegeben, daß ihr tut, wie ich euch getan habe	Joh.13:15
Ich bin der Weinstock, ihr seid die Reben	Joh.15:5
Ich aber will zu Gott rufen	Ps.55:16
Deinen Willen, mein Gott, tue ich gern	Ps.40:8
Ich aber bin voll Kraft und Geistes des HERRN	Mi.3:8
Denn ich habe Lust an der Liebe, und nicht am Opfer	Hos.6:6
Denn ich schäme mich des Evangeliums von Christo nicht	Röm.1:16
Ich aber bin unter euch wie ein Diener	Lk.22:27
Ich will vor deinem Angesicht alle meine Güte vorübergehen lassen	2Mose.33:19
Ich bin bei dir, daß ich dir helfe und dich errette	Jer.15:20
Ich, ich tilge deine übertretungen um meinetwillen	Jes.43:25
Bin ich das Licht der Welt. 	Joh.9:5
Ich bin dein Schild und dein sehr großer Lohn. 	1Mose.15:1
Ich habe gesehen das Elend meines Volkes	2Mose.3:7
Da will ich dich wissen lassen, was du tun sollst, 	1Sam.16:3
Ich, der HERR, will sie erhören	Jes.41:17
Ich, der HERR, kann das Herz ergründen	Jer.17:10
Aber ohne Glauben ist's unmöglich, Gott zu gefallen	Hebr.11:6
Du aber bleibe in dem, was du gelernt hast	2Tim.3:14
Und danksaget dem Vater… welcher uns errettet hat von der Obrigkeit der Finsternis	Kol.1:13
Aus Gnade seid ihr selig geworden	Eph.2:5
Selig ist, der da wacht und hält seine Kleider	Offb.16:15
Selig ist, der da hält die Worte der Weissagung in diesem Buch	Offb.22:7
Denn Gott hat uns nicht gesetzt zum Zorn, sondern die Seligkeit zu besitzen 	1Thes.5:9
Hat Gott gesandt den Geist seines Sohnes in eure Herzen	Gal.4:6
So lasset uns halten an dem Bekenntnis	Hebr.4:14
Sei getrost bis an den Tod, so will ich dir die Krone des Lebens geben	Offb.2:10
Und seid dankbar	Kol.3:15
Haltet an am Gebet	Kol.4:2
Und kündlich groß ist das gottselige Geheimnis: Gott ist offenbart im Fleisch	1Tim.3:16
Groß und wundersam sind deine Werke, HERR, allmächtiger Gott!	Offb.15:3
Es ist aber ein großer Gewinn, wer gottselig ist und lässet sich genügen. 	1Tim.6:6
Es ist aber der Glaube eine gewisse Zuversicht des, das man hofft, und ein Nichtzweifeln an dem, das man nicht sieht	Hebr.11:1
