#BIBLE VERSE DESKTOP

#name   	Thai Bible
#language	thai
#charset	thai

; Scripture taken from the Thai Bible. 

เข้าลี้ภัยอยู่ในพระเจ้า  ก็ดีกว่า	สดด.118:8
เพราะเหตุว่าความรักของพระเจ้าได้หลั่งเข้าสู่จิตใจของเรา  โดยทางพระวิญญาณบริสุทธิ์	รม.5:5
โดยข้อนี้ความรักของพระเจ้าก็เป็นที่ประจักษ์แก่เราทั้งหลาย	1ยน.4:9
เรารู้ว่า  พระเจ้าทรงช่วยคนที่รักพระองค์ให้เกิดผลอันดีในทุกสิ่ง	รม.8:28
บุคคลที่มีตาแสดงใจกว้างขวางก็จะรับพร	สภษ.22:9
แต่ความรักมั่นคงของเราจะไม่พรากไปจากเจ้า	อสย.54:10
แต่ความกรุณาย่อมมีชัยเหนือการพิพากษา	ยก.2:13
ซึ่งพระองค์ทรงน้อมพระทัยลง  ก็กระทำให้ข้าพระองค์เป็นใหญ่ขึ้น	สดด.18:35
คำอธิษฐานของผู้ชอบธรรมนั้นมีพลังทำให้เกิดผล	ยก.5:16
พระเจ้าทรงสามารถที่จะประทานแก่พระองค์ยิ่งกว่านี้อีกมาก	2พศด.25:9
และการอธิษฐานด้วยความเชื่อจะช่วยให้ผู้ป่วยรอดชีวิต	ยก.5:15
แต่พระองค์ทรงได้ยินคำอธิษฐานของคนชอบธรรม	สภษ.15:29
เราจะให้ความมืดข้างหน้าเขากลับเป็นสว่าง	อสย.42:16
เราทั้งหลายเป็นคนเขลาเพราะเห็นแก่พระคริสต์	1คร.4:10
เราจะดำเนินในพระนามของพระเยโฮวาห์พระเจ้าของเรา  เป็นนิตย์สืบๆไป	มค.4:5
แต่เมื่อเราเป็นของกลางวันแล้วก็อย่าให้เราเมามาย	1ธส.5:8
ทรงโปรดประทานให้ที่มิได้สร้างด้วยมือมนุษย์และตั้งอยู่เป็นนิตย์ในสวรรค์	2คร.5:1
แต่พวกเราประกาศเรื่องพระคริสต์ผู้ทรงถูกตรึงที่กางเขนนั้น		1คร.1:23
เพราะเราดำเนินโดยความเชื่อ  มิใช่ตามที่ตามองเห็น	2คร.5:7
ความโปรดปรานของพระองค์นั้นตลอดชีวิต	สดด.30:5
ข้าพเจ้าลี้ภัยอยู่ในพระเจ้า	สดด.11:1
ข้าพเจ้าวางใจในพระองค์  ข้าพเจ้าจึงได้รับความอุปถัมภ์		สดด.28:7
ข้าแต่พระเจ้า  ข้าพระองค์รอคอยความรอดจากพระองค์	ปฐก.49:18
ขอพระพรของพระองค์หลั่งลงเหนือประชากรของพระองค์เทอญ	สดด.3:8
และเราจะจารึกนามใหม่ของเราไว้ที่ผู้นั้นด้วย	วว.3:12
ขอทรงนำข้าพระองค์ไปในมรรคานิรันดร์	สดด.139:24
เรียกนามของท่านว่า  "ที่ปรึกษามหัศจรรย์	อสย.9:6
ชนชาติของเราจะอาศัยอยู่ในที่อยู่อย่างศานติในที่อาศัยอันปลอดภัย	อสย.32:18
ดูเถิด  วันแห่งพระเจ้ามาถึงแล้ว	ศคย.14:1
บัดนี้เป็นเวลาที่เราควรจะตื่นจากหลับแล้ว	รม.13:11
ขอสอนมรรคาของพระองค์แก่ข้าพระองค์	สดด.27:11
ขอทรงสอนให้ข้าพระองค์ทำตามพระทัยของพระองค์		สดด.143:10
เพื่อพระองค์จะทรงสอนวิถีของพระองค์แก่เรา	อสย.2:3
จงฝึกกระทำดี	อสย.1:17
เราทั้งหลายก็ร่วมสามัคคีกับพระบิดา  และกับพระเยซูคริสต์พระบุตรของพระองค์	1ยน.1:3
อย่ากลัวเลย  เราจะช่วยเจ้า	อสย.41:13
อย่ากลัวเลย  แต่จงให้มือของเจ้าแข็งแรงเถิด	ศคย.8:13
แต่ข้าพเจ้ามิได้ถือว่า  ชีวิตของข้าพเจ้าเป็นสิ่งมีค่าและประเสริฐสำหรับตัวข้าพเจ้า	กจ.20:24
จิตใจของข้าเอ๋ย, อย่าลืมพระราชกิจอันมีพระคุณทั้งสิ้นของพระองค์	สดด.103:2
เพราะว่าพระเจ้าได้ทรงกระทำพระองค์ผู้ทรงไม่มีบาปให้บาป	2คร.5:21
องค์พระผู้เป็นเจ้าไม่ได้ทรงเฉื่อยช้า  ในเรื่องพระสัญญาของพระองค์	2ปต.3:9
เพราะพระองค์จะไม่ทรงลืมคนขัดสนเสมอไป	สดด.9:18
และอย่าทำให้พระวิญญาณบริสุทธิ์ของพระเจ้าเสียพระทัย	อฟ.4:30
ความมั่งคั่งไม่อำนวยกำไรในวันทรงพระพิโรธ	สภษ.11:4
